% Model,Na_0709.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 24 2024, 17:36"
% Dimension,1
% Nodes,194
% Expressions,1
% Description,全局
% 时间 (s),边界电位
0,4.291547903762916
30,4.284400729703387
60,4.2795508983520065
90,4.275112742096194
120,4.270971888284175
150,4.267146482240846
180,4.263562596992387
210,4.260173689504651
240,4.256881395666319
270,4.2536799117097495
300,4.250581236620978
330,4.247558156258449
360,4.244551113197795
390,4.241622940821173
420,4.238689278781957
450,4.235676272247587
480,4.232603741916668
510,4.229587155231003
540,4.226639354474325
570,4.223650761824974
600,4.220614628676466
630,4.217388744663623
660,4.214169382563715
690,4.211021509096899
720,4.208014315712338
750,4.205124266699804
780,4.202140835905973
810,4.199184287284867
840,4.1964485670653415
870,4.193852349847748
900,4.1913389338964935
930,4.1888749372390714
960,4.186455660991534
990,4.184064205941543
1020,4.181670798532539
1050,4.179265934059371
1080,4.176848284110699
1110,4.174415630443787
1140,4.171999358371476
1170,4.1695360923019615
1200,4.167033006098149
1230,4.164533292020355
1260,4.161994829200706
1290,4.159416033728206
1320,4.1567348069652015
1350,4.153968912029804
1380,4.151212707068846
1410,4.148366269802845
1440,4.145347863742225
1470,4.1421979801248225
1500,4.138897488087614
1530,4.13532203031942
1560,4.131511854321973
1590,4.127511442094394
1620,4.123189111095706
1650,4.1184126048678165
1680,4.113128582690387
1710,4.106893404694219
1740,4.10065822669805
1770,4.093154912235597
1800,4.084723097230927
1830,4.076065529443372
1860,4.063124762713323
1890,4.050183995983273
1920,4.032520931621447
1950,4.003206956428867
1980,3.948613299636871
2010,3.8670298918168418
2040,3.794925556248285
2070,3.7540951943419625
2100,3.7345227783361303
2130,3.725564514256951
2160,3.721066947835426
2190,3.717909737254493
2220,3.7156718169928746
2250,3.7137788230435476
2280,3.712165060625073
2310,3.7106962160617916
2340,3.709345917261336
2370,3.707997026780406
2400,3.706690538441071
2430,3.705472213619823
2460,3.70432535174073
2490,3.703167115528128
2520,3.7020243548663814
2550,3.700899592704612
2580,3.699796249236008
2610,3.698698256038023
2640,3.697598031899741
2670,3.6964948085245406
2700,3.6954039268014713
2730,3.694338210469133
2760,3.6932318550362684
2790,3.692108675056663
2820,3.6910173526175756
2850,3.6899660297353254
2880,3.6888762376547883
2910,3.687748123022786
2940,3.6865958964008247
2970,3.6854307393211427
3000,3.6843111112769638
3030,3.6832036834550577
3060,3.6820400099632313
3090,3.680879809899642
3120,3.6797407840745717
3150,3.6785668670203058
3180,3.6774202745330005
3210,3.6763092324364246
3240,3.6752016025604286
3270,3.674099604995139
3300,3.672998615793018
3330,3.671860212054981
3360,3.6707824645920986
3390,3.669753301200986
3420,3.66874481261945
3450,3.6677036381689514
3480,3.6666542980059984
3510,3.6656127783098005
3540,3.664590805826227
3570,3.6635787009396825
3600,3.6625913209820764
3630,3.6616095601382765
3660,3.660645861840404
3690,3.6596798560902477
3720,3.6587017430610005
3750,3.657711978898812
3780,3.656760766031128
3810,3.6557951935958455
3840,3.654797890094606
3870,3.6537975185521714
3900,3.6528273107185476
3930,3.651827810236425
3960,3.650810007084004
3990,3.6497905456368027
4020,3.6487552320752705
4050,3.647634878791562
4080,3.646508497581304
4110,3.6454057371320734
4140,3.644279802016287
4170,3.6431135203371294
4200,3.6419165001078193
4230,3.640677561276658
4260,3.6393711478160413
4290,3.6379662746567716
4320,3.6365168783301454
4350,3.63502897484277
4380,3.633488514122022
4410,3.6318184332858734
4440,3.6300188875131343
4470,3.628088816926759
4500,3.626018063946159
4530,3.623793978291434
4560,3.621364515002284
4590,3.6185435769921876
4620,3.615330430466874
4650,3.611587557339057
4680,3.6072045138615354
4710,3.6023028424169827
4740,3.5955322525080504
4770,3.5875477686329464
4800,3.5744861422753864
4830,3.556726806138445
4860,3.5205858337167526
4890,3.445215494758518
4920,3.370768576330892
4950,3.348515802127625
4980,3.3423713488782947
5010,3.3377320628929827
5040,3.333741648287022
5070,3.3293133530083985
5100,3.3238118291048475
5130,3.316816987121311
5160,3.307135666376511
5190,3.2927966246503133
5220,3.2629909078424046
5250,3.1894446204240716
5280,3.091495537855656
5310,2.99886007913734
5340,2.9167875222621182
5370,2.8416950102439076
5400,2.7728412663954236
5430,2.7089345900743087
5460,2.6526426430980385
5490,2.6056149386909877
5520,2.5619331716335947
5550,2.5287085612138527
5580,2.4833903388573413
5610,2.4309895736439713
5640,2.3757767852819245
5670,2.320289342528356
5700,2.2649480714149424
5730,2.2089796757240223
5760,2.154029506622979
5790,2.1318916358624787
