File,MAE
traindata0/E1.csv,211486.00197178568
traindata0/E2.csv,0.0746865755371038
traindata0/E3.csv,0.08160317517504162
traindata0/E4.csv,0.08435813848972111
traindata0/E5.csv,0.08566492364885363
traindata0/E6.csv,0.08666866321157797
traindata0/E7.csv,0.08706656409073849
traindata0/E8.csv,0.08737339141189965
traindata0/E9.csv,0.08776347808928842
traindata0/E10.csv,0.08803365962946953
traindata0/E11.csv,20952984.977395214
traindata0/E12.csv,0.0626258407861628
traindata0/E13.csv,0.07257627807930883
traindata0/E14.csv,0.07636191833445945
traindata0/E15.csv,0.07842767515500448
traindata0/E16.csv,0.07961144283506115
traindata0/E17.csv,0.08025645316619942
traindata0/E18.csv,0.08083052268980151
traindata0/E19.csv,0.08122040720093668
traindata0/E20.csv,0.08169229670989936
traindata0/E21.csv,26925402.3963579
traindata0/E22.csv,0.06273162079115262
traindata0/E23.csv,0.07277959126430224
traindata0/E24.csv,0.07659288801073831
traindata0/E25.csv,0.07852020495626023
traindata0/E26.csv,0.07977442448311962
traindata0/E27.csv,0.08055210659703707
traindata0/E28.csv,0.08106099797053155
traindata0/E29.csv,0.08160382803809527
traindata0/E30.csv,0.08180857669084755
traindata0/E31.csv,71741365.9254491
traindata0/E32.csv,0.06259639864171726
traindata0/E33.csv,0.07298818574147845
traindata0/E34.csv,0.07658101437892612
traindata0/E35.csv,0.07859551000138365
traindata0/E36.csv,0.07981044893268545
traindata0/E37.csv,0.08075657155281307
traindata0/E38.csv,0.08122731608501944
traindata0/E39.csv,0.08165865943860125
traindata0/E40.csv,0.08208022559529758
traindata0/E41.csv,92771531.3670981
traindata0/E42.csv,0.06290205427727297
traindata0/E43.csv,0.07285379764333645
traindata0/E44.csv,0.07674826738411922
traindata0/E45.csv,0.07868009774498574
traindata0/E46.csv,0.07978612556024646
traindata0/E47.csv,0.08075870830992718
traindata0/E48.csv,0.08131321668090147
traindata0/E49.csv,0.08167956653377365
traindata0/E50.csv,0.08201684882171588
traindata0/E51.csv,108497705.8376026
traindata0/E52.csv,0.06277338001022849
traindata0/E53.csv,0.072915079083523
traindata0/E54.csv,0.07669209189525303
traindata0/E55.csv,0.07870362935429649
traindata0/E56.csv,0.08002000065889751
traindata0/E57.csv,0.08059648729145294
traindata0/E58.csv,0.08123863848426044
traindata0/E59.csv,0.0817590608892048
traindata0/E60.csv,0.08209621852928264
traindata0/E61.csv,136376153.82617405
traindata0/E62.csv,0.06277469700468243
traindata0/E63.csv,0.07299868261053791
traindata0/E64.csv,0.07684812974129285
traindata0/E65.csv,0.07863010614440973
traindata0/E66.csv,0.07996306130289986
traindata0/E67.csv,0.08078079152916454
traindata0/E68.csv,0.08128672360099436
traindata0/E69.csv,0.08165856856174701
traindata0/E70.csv,0.08215378188310804
traindata0/E71.csv,146481979.00350925
traindata0/E72.csv,0.06272381400675257
traindata0/E73.csv,0.07291254220239198
traindata0/E74.csv,0.07674471004348099
traindata0/E75.csv,0.07881211693173648
traindata0/E76.csv,0.07989965968001966
traindata0/E77.csv,0.08065146010610513
traindata0/E78.csv,0.08136988231972414
traindata0/E79.csv,0.08176496374940452
traindata0/E80.csv,0.08216069742747596
traindata0/E81.csv,163504279.95921755
traindata0/E82.csv,0.06278458300976755
traindata0/E83.csv,0.07302792830649481
traindata0/E84.csv,0.07683580244489799
traindata0/E85.csv,0.07872008128899766
traindata0/E86.csv,0.079991751859081
traindata0/E87.csv,0.08067092947710562
traindata0/E88.csv,0.08121893218998118
traindata0/E89.csv,0.08178020881102316
traindata0/E90.csv,0.08220979079438955
traindata0/E91.csv,176435239.31094748
traindata0/E92.csv,0.06269240850288418
traindata0/E93.csv,0.07296245410702397
traindata0/E94.csv,0.0768182942441798
traindata0/E95.csv,0.07878040868828873
traindata0/E96.csv,0.07987985333015102
traindata0/E97.csv,0.08079518160797716
traindata0/E98.csv,0.08124645381492582
traindata0/E99.csv,0.08181616599503577
traindata0/E100.csv,0.08202821731199689
