File,DTW Distance
traindata0/E1.csv,2756490.008692061
traindata0/E2.csv,1.2557114586693006
traindata0/E3.csv,1.3812636553661568
traindata0/E4.csv,1.4293170173776923
traindata0/E5.csv,1.451288043584583
traindata0/E6.csv,1.4701956992116885
traindata0/E7.csv,1.4759614454669447
traindata0/E8.csv,1.4836760822179675
traindata0/E9.csv,1.488372348784721
traindata0/E10.csv,1.491603858362531
traindata0/E11.csv,273102099.39499044
traindata0/E12.csv,1.4741278883121447
traindata0/E13.csv,1.6001242420623878
traindata0/E14.csv,1.6477015387247522
traindata0/E15.csv,1.6703783285622
traindata0/E16.csv,1.688100101038175
traindata0/E17.csv,1.693122858826523
traindata0/E18.csv,1.7036908341505916
traindata0/E19.csv,1.706860734413969
traindata0/E20.csv,1.7144945518673556
traindata0/E21.csv,350943790.812347
traindata0/E22.csv,1.4754716739338563
traindata0/E23.csv,1.6005141303462453
traindata0/E24.csv,1.6467552257103366
traindata0/E25.csv,1.6717219583364333
traindata0/E26.csv,1.6884717158221303
traindata0/E27.csv,1.6944634627341415
traindata0/E28.csv,1.7016459841122678
traindata0/E29.csv,1.7122287357804908
traindata0/E30.csv,1.713336375863687
traindata0/E31.csv,935073624.27505
traindata0/E32.csv,1.4760981231917978
traindata0/E33.csv,1.6025804232526377
traindata0/E34.csv,1.6466506872265945
traindata0/E35.csv,1.6705921286430123
traindata0/E36.csv,1.6870796723276593
traindata0/E37.csv,1.6981539573676077
traindata0/E38.csv,1.7069890305813216
traindata0/E39.csv,1.7079570795066517
traindata0/E40.csv,1.7161949056535786
traindata0/E41.csv,1209186329.1535754
traindata0/E42.csv,1.4759485136367383
traindata0/E43.csv,1.6021822872618068
traindata0/E44.csv,1.6492287846862146
traindata0/E45.csv,1.6711572899682257
traindata0/E46.csv,1.685154393041837
traindata0/E47.csv,1.7001828179889558
traindata0/E48.csv,1.707027058194859
traindata0/E49.csv,1.7109431751960544
traindata0/E50.csv,1.716303853153682
traindata0/E51.csv,1414165550.1811824
traindata0/E52.csv,1.4767579379489215
traindata0/E53.csv,1.6032516632675793
traindata0/E54.csv,1.6474255157360898
traindata0/E55.csv,1.670494206133933
traindata0/E56.csv,1.6893758280809361
traindata0/E57.csv,1.695445693399297
traindata0/E58.csv,1.7043509944262019
traindata0/E59.csv,1.7115340182702494
traindata0/E60.csv,1.7162303435016615
traindata0/E61.csv,1777521877.9594207
traindata0/E62.csv,1.4769567757848883
traindata0/E63.csv,1.602021743009996
traindata0/E64.csv,1.6507358874309126
traindata0/E65.csv,1.670778599170047
traindata0/E66.csv,1.690493540489654
traindata0/E67.csv,1.7004621738872403
traindata0/E68.csv,1.7031677996204757
traindata0/E69.csv,1.7083260182905569
traindata0/E70.csv,1.7167321807050087
traindata0/E71.csv,1909242624.4832475
traindata0/E72.csv,1.4771166853828848
traindata0/E73.csv,1.6033175698258033
traindata0/E74.csv,1.6477916839984512
traindata0/E75.csv,1.673812698865452
traindata0/E76.csv,1.686090211629686
traindata0/E77.csv,1.6966222285277417
traindata0/E78.csv,1.7078364634392105
traindata0/E79.csv,1.7131647803562478
traindata0/E80.csv,1.7173466007228206
traindata0/E81.csv,2131108902.3649964
traindata0/E82.csv,1.4765210468761474
traindata0/E83.csv,1.6039198296159463
traindata0/E84.csv,1.6478591119350232
traindata0/E85.csv,1.673265698157559
traindata0/E86.csv,1.6909078156230914
traindata0/E87.csv,1.6958967913832188
traindata0/E88.csv,1.70500215992742
traindata0/E89.csv,1.7129199093182599
traindata0/E90.csv,1.7165742586524846
traindata0/E91.csv,2299647987.6241875
traindata0/E92.csv,1.4763122042634653
traindata0/E93.csv,1.6031949950059832
traindata0/E94.csv,1.64932225781113
traindata0/E95.csv,1.6711953242276223
traindata0/E96.csv,1.6878134347746467
traindata0/E97.csv,1.7003791813552225
traindata0/E98.csv,1.7046537141532772
traindata0/E99.csv,1.7129602315417183
traindata0/E100.csv,1.7131098798302653
