% Model,NMC1.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 17 2024, 13:50"
% Dimension,1
% Nodes,713
% Expressions,1
% Description,全局
% 时间 (s),边界电位
0,4.054653056492607
10,4.0319946359523415
20,4.022854490193806
30,4.016763095699145
40,4.012198841631956
50,4.008713267036962
60,4.006037752619744
70,4.004004763374164
80,4.002349425650921
90,4.0010208807714545
100,3.9999883692279843
110,3.9991351517146896
120,3.998418854885807
130,3.997774407604437
140,3.997213456248646
150,3.996722043696158
160,3.9962833860116955
170,3.9958959515073817
180,3.995548035178154
190,3.9952205387837276
200,3.994901506451743
210,3.994581287584456
220,3.994263799763012
230,3.993949042987409
240,3.9936221908314913
250,3.993287817061737
260,3.992947740202723
270,3.992599745687274
280,3.9922432900358684
290,3.9918793211439394
300,3.991510787184182
310,3.9911418312360647
320,3.990769344966471
330,3.9903910423877056
340,3.9899944831232066
350,3.9895869780620417
360,3.9891685272042126
370,3.988739130549719
380,3.9882987880985614
390,3.9878474998507376
400,3.9873906567404225
410,3.986926663498522
420,3.9864537867823784
430,3.9859720265919907
440,3.9854813829273605
450,3.984981855788486
460,3.984469591145288
470,3.9839356346904773
480,3.983388630824901
490,3.9828285795485585
500,3.982255480861451
510,3.981669334763578
520,3.9810701412549383
530,3.980439438864409
540,3.979786073959864
550,3.9791134891891415
560,3.978421684552241
570,3.9777106600491625
580,3.9769804156799062
590,3.9762138096414925
600,3.975389397144825
610,3.974532158505894
620,3.973642093724701
630,3.972719202801243
640,3.9717634857355226
650,3.9707749425275387
660,3.9698042145717363
670,3.9688196487790477
680,3.9678172539237475
690,3.966797030005836
700,3.9657589770253128
710,3.964703094982178
720,3.963651765633919
730,3.9626187281204173
740,3.9615818240523315
750,3.9605410534296595
760,3.959496416252403
770,3.95844791252056
780,3.957394770890026
790,3.9562546149663067
800,3.955088136696696
810,3.9538953360811955
820,3.9526762131198034
830,3.951430767812521
840,3.950159000159346
850,3.948830400823429
860,3.9474391307059515
870,3.946005932500259
880,3.944530806206352
890,3.943013751824229
900,3.941454769353891
910,3.9398551362988106
920,3.938226537956324
930,3.936559728382851
940,3.9348547075783897
950,3.9331114755429417
960,3.9313300322765063
970,3.929510377779083
980,3.927715240632603
990,3.9259377566540183
1000,3.9241491475259167
1010,3.9223494132482983
1020,3.9205385538211632
1030,3.9187165692445114
1040,3.9169040644400814
1050,3.915182023067405
1060,3.9134799849093524
1070,3.911797949965924
1080,3.910135918237121
1090,3.908493889722941
1100,3.9068718644233855
1110,3.905289367316179
1120,3.9037398644034607
1130,3.9022176347900412
1140,3.9007226784759195
1150,3.899254995461096
1160,3.897814585745572
1170,3.8963738921730764
1180,3.8948760304512504
1190,3.893377579372766
1200,3.8918785389376227
1210,3.8903789091458214
1220,3.8888786899973624
1230,3.887377881492246
1240,3.885928080027074
1250,3.8845029876686064
1260,3.8830941438809097
1270,3.881701548663984
1280,3.88032520201783
1290,3.8789651039424466
1300,3.8776284200210602
1310,3.8763230666401185
1320,3.8750393697768404
1330,3.873777329431224
1340,3.8725369456032714
1350,3.8713182182929806
1360,3.8701211475003525
1370,3.8689918023486345
1380,3.8679002515788894
1390,3.866843703713533
1400,3.8658221587525645
1410,3.8648356166959847
1420,3.8638840775437937
1430,3.862946323433532
1440,3.8620113208373894
1450,3.861098614751959
1460,3.8602082051772424
1470,3.8593400921132397
1480,3.85849427555995
1490,3.8576708089151213
1500,3.8568717407905195
1510,3.856095543162588
1520,3.855342216031325
1530,3.854611759396732
1540,3.853904173258808
1550,3.8532194576175534
1560,3.852493098962672
1570,3.8517169644650737
1580,3.8509318195414646
1590,3.850137664191843
1600,3.8493344984162117
1610,3.848522322214569
1620,3.8476973956157545
1630,3.8468315715298784
1640,3.845947481687104
1650,3.845045126087433
1660,3.844124504730865
1670,3.8431856176173986
1680,3.842228464747035
1690,3.8411376098223555
1700,3.8399312373546257
1710,3.8386582219034504
1720,3.8373185634688287
1730,3.835912262050762
1740,3.8344393176492493
1750,3.83294618230686
1760,3.8315929641921898
1770,3.8302372616195646
1780,3.8288790745889836
1790,3.8275184031004468
1800,3.8261552471539537
1810,3.824789606749506
1820,3.823512450650808
1830,3.8222899785548305
1840,3.8210980099523817
1850,3.819936544843462
1860,3.81880558322807
1870,3.8177051251062077
1880,3.816621762709328
1890,3.8155308906965066
1900,3.814457787126533
1910,3.813402451999407
1920,3.812364885315128
1930,3.8113450870736973
1940,3.810343057275114
1950,3.809314107175817
1960,3.808282320289409
1970,3.8072540605762937
1980,3.806229328036472
1990,3.805208122669942
2000,3.8041904444767054
2010,3.803173679406534
2020,3.80215528778651
2030,3.801138543406098
2040,3.8001234462652973
2050,3.799109996364109
2060,3.7980981937025318
2070,3.7970880382805667
2080,3.796017891341092
2090,3.794929262646359
2100,3.793824805857283
2110,3.7927045209738632
2120,3.7915684079960994
2130,3.7904164669239915
2140,3.7892417000667646
2150,3.7880410778672857
2160,3.7868205990852775
2170,3.7855802637207385
2180,3.7843200717736702
2190,3.7830400232440717
2200,3.7817366738548177
2210,3.7803314324102626
2220,3.7788836801419277
2230,3.777393417049811
2240,3.7758606431339126
2250,3.7742853583942333
2260,3.772667562830772
2270,3.7710577858768377
2280,3.7694592967925407
2290,3.7678424450592947
2300,3.766207230677099
2310,3.7645536536459523
2320,3.762881713965858
2330,3.761190529511552
2340,3.7594745246647534
2350,3.7577382593015782
2360,3.7559817334220287
2370,3.7542049470261034
2380,3.752407900113802
2390,3.7505905926851257
2400,3.7488037837659163
2410,3.7470371633229607
2420,3.7452709432421964
2430,3.7435051235236223
2440,3.7417397041672382
2450,3.739974685173046
2460,3.7382062861682632
2470,3.7364230244037784
2480,3.7346353560113608
2490,3.7328432809910104
2500,3.7310467993427268
2510,3.7292459110665113
2520,3.727440616162362
2530,3.7256513908918696
2540,3.7238699059843756
2550,3.722091250034166
2560,3.720315423041242
2570,3.7185424250056034
2580,3.7167722559272502
2590,3.7150008346215633
2600,3.7132215038945797
2610,3.711441348225464
2620,3.7096603676142172
2630,3.7078785620608388
2640,3.706095931565328
2650,3.704312476127687
2660,3.702537943582795
2670,3.700766807369259
2680,3.698997881050317
2690,3.697231164625968
2700,3.6954666580962114
2710,3.6937043614610476
2720,3.6919779732666727
2730,3.6903161258619255
2740,3.6886796278804805
2750,3.687068479322336
2760,3.6854826801874934
2770,3.683922230475952
2780,3.6823871301877116
2790,3.680691153643858
2800,3.6789639686596907
2810,3.677210445299257
2820,3.6754305835625574
2830,3.6736243834495923
2840,3.6717452574788716
2850,3.6698095287516392
2860,3.6678276502984444
2870,3.665799622119286
2880,3.6637254442141645
2890,3.6617899815830883
2900,3.6600139550770656
2910,3.6582974139478726
2920,3.6566403581955083
2930,3.655042787819972
2940,3.653479862204121
2950,3.6519274279507905
2960,3.6504134630954113
2970,3.648937967637982
2980,3.6475009415785027
2990,3.6460804552142143
3000,3.6446075616735394
3010,3.643139264829814
3020,3.6416755646830405
3030,3.6402164612332175
3040,3.638759052621573
3050,3.6372467228159095
3060,3.6357191571639027
3070,3.6341763556655513
3080,3.6326183183208576
3090,3.6310450451298197
3100,3.629360648623817
3110,3.6276613217888216
3120,3.625961994953826
3130,3.624262668118831
3140,3.6225633412838354
3150,3.6208640144488395
3160,3.619164687613844
3170,3.6174653607788487
3180,3.6157660339438533
3190,3.6140667071088584
3200,3.612555570675567
3210,3.6112274454677795
3220,3.6098993202599923
3230,3.6085711950522046
3240,3.607243069844417
3250,3.605914944636629
3260,3.604586819428842
3270,3.6032586942210543
3280,3.6019305690132666
3290,3.600602443805479
3300,3.599294225632502
3310,3.598107230738464
3320,3.5969202358444265
3330,3.5957332409503886
3340,3.5945462460563515
3350,3.593359251162313
3360,3.592172256268276
3370,3.590985261374238
3380,3.5897982664802006
3390,3.5886112715861627
3400,3.5874242766921256
3410,3.5862084861012513
3420,3.5849843418125484
3430,3.5837601975238456
3440,3.582536053235143
3450,3.5813119089464402
3460,3.5800877646577383
3470,3.5788636203690354
3480,3.5776394760803325
3490,3.57641533179163
3500,3.575191187502927
3510,3.5740039307964673
3520,3.5728699298279123
3530,3.5717359288593578
3540,3.5706019278908028
3550,3.569467926922248
3560,3.5683339259536933
3570,3.5671999249851383
3580,3.5660659240165833
