% Model,NMC1.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 16 2024, 22:44"
% Dimension,1
% Nodes,713
% Expressions,1
% Description,全局
% 时间 (s),边界电位
0,4.0546957832117565
10,4.035546310037956
20,4.029223759159667
30,4.0249656953596755
40,4.021693857643707
50,4.0192096869618625
60,4.017336780896749
70,4.015919358056356
80,4.014793401505433
90,4.013681018779557
100,4.012800014141618
110,4.011924597611107
120,4.011250286301083
130,4.010575974991059
140,4.009995800640137
150,4.009415752862559
160,4.00888742142849
170,4.00836067415263
180,4.007904379923264
190,4.0074524314890025
200,4.007067779804137
210,4.0066894987463195
220,4.006339944816801
230,4.005994118538389
240,4.005648292259977
250,4.005302465981566
260,4.004938756056979
270,4.004571341242203
280,4.004203926427428
290,4.003836511612652
300,4.003446688041634
310,4.003050232392739
320,4.002653776743844
330,4.002257321094948
340,4.001844639784564
350,4.0014254868464425
360,4.001006333908319
370,4.0005871809701965
380,4.000128560440294
390,3.999649436860298
400,3.9991703132803007
410,3.9986911897003043
420,3.99819157629396
430,3.9976783801328697
440,3.997165183971778
450,3.996651987810688
460,3.9961094953568983
470,3.9955425051673656
480,3.994975514977834
490,3.994408524788301
500,3.9938415345987694
510,3.993274544409237
520,3.992707554219705
530,3.9921405640301724
540,3.991506234403783
550,3.990783035824232
560,3.990059837244682
570,3.989336638665131
580,3.9886134400855804
590,3.9878902415060296
600,3.987167042926479
610,3.9864179636641226
620,3.9854940222848008
630,3.9845700809054776
640,3.9836461395261553
650,3.982722198146833
660,3.981798256767511
670,3.980874315388188
680,3.9799503740088658
690,3.9789197120266584
700,3.977866688026931
710,3.9768136640272043
720,3.975760640027476
730,3.9747076160277492
740,3.973654592028022
750,3.9726015680282947
760,3.9715176812195305
770,3.9704058260228026
780,3.9692939708260737
790,3.9681821156293453
800,3.967070260432617
810,3.9659584052358885
820,3.9648465500391596
830,3.9636646176345027
840,3.9622377191579643
850,3.9608108206814254
860,3.9593839222048866
870,3.9579570237283477
880,3.956530125251809
890,3.95510322677527
900,3.953676328298731
910,3.952021868994138
920,3.9503476954785994
930,3.94867352196306
940,3.946999348447521
950,3.9453251749319818
960,3.943651001416443
970,3.9419768279009038
980,3.9402242257433215
990,3.9384231679426525
1000,3.936622110141984
1010,3.9348210523413147
1020,3.933019994540645
1030,3.9312189367399766
1040,3.9294178789393075
1050,3.9276591290706118
1060,3.92599197876714
1070,3.9243248284636683
1080,3.922657678160196
1090,3.9209905278567243
1100,3.919323377553252
1110,3.917656227249781
1120,3.9159913990192288
1130,3.914492681673039
1140,3.9129939643268488
1150,3.9114952469806594
1160,3.909996529634469
1170,3.9084978122882794
1180,3.90699909494209
1190,3.9055003775959
1200,3.9040288237845835
1210,3.9025682776430535
1220,3.9011077315015235
1230,3.8996471853599943
1240,3.8981866392184643
1250,3.8967260930769347
1260,3.895265546935405
1270,3.8938686647294585
1280,3.8925636008371796
1290,3.8912585369449006
1300,3.8899534730526217
1310,3.888648409160343
1320,3.887343345268064
1330,3.886038281375785
1340,3.884744240910449
1350,3.883557266360445
1360,3.8823980228601447
1370,3.8812665104095476
1380,3.8801627290086533
1390,3.8790866786574627
1400,3.878038359355975
1410,3.8770177711041907
1420,3.876024913902109
1430,3.875059787749731
1440,3.8741223926470556
1450,3.8732127285940847
1460,3.8723307955908157
1470,3.871476593637251
1480,3.8706501227333883
1490,3.869801174975795
1500,3.8689204129973693
1510,3.8680541669719575
1520,3.8672024368995586
1530,3.866365222780172
1540,3.8655425246138004
1550,3.8647343424004417
1560,3.863940676140096
1570,3.8631615258327643
1580,3.8623968914784452
1590,3.861646773077139
1600,3.8609111706288473
1610,3.860190084133569
1620,3.8594048966572347
1630,3.8584718661831423
1640,3.857520923319851
1650,3.856552068067359
1660,3.855565300425668
1670,3.8545606203947784
1680,3.853538027974688
1690,3.8524975231653986
1700,3.8514391059669104
1710,3.8503627763792223
1720,3.8492685344023343
1730,3.848156380036247
1740,3.847016133939698
1750,3.845846554259232
1760,3.844655951660625
1770,3.843444326143878
1780,3.84221167770899
1790,3.840958006355963
1800,3.8396833120847944
1810,3.838387594895486
1820,3.8370708547880374
1830,3.835733091762449
1840,3.834374305818719
1850,3.83299449695685
1860,3.831775565732637
1870,3.8306487966657357
1880,3.8295424794340494
1890,3.8284566140375755
1900,3.8273912004763173
1910,3.8263462387502725
1920,3.825321728859441
1930,3.8243176708038247
1940,3.8233340645834217
1950,3.822370910198234
1960,3.8214223184491662
1970,3.82037919770309
1980,3.8193359614615883
1990,3.8182926097246606
2000,3.8172491424923076
2010,3.8162055597645295
2020,3.815161861541326
2030,3.8141180478226966
2040,3.813074118608642
2050,3.812030073899162
2060,3.8109859136942563
2070,3.809931715225138
2080,3.808859838286233
2090,3.807783434187996
2100,3.806702502930426
2110,3.8056170445135242
2120,3.8045270589372895
2130,3.8034325462017238
2140,3.8023335063068244
2150,3.8012299392525937
2160,3.8001218450390306
2170,3.7990092236661344
2180,3.797767269457087
2190,3.796456135665229
2200,3.795111697832044
2210,3.7937339559575345
2220,3.792322910041698
2230,3.7908785600845354
2240,3.7894009060860467
2250,3.7878899480462316
2260,3.786345685965091
2270,3.7847681198426235
2280,3.7831624679262967
2290,3.781568867592874
2300,3.779950481442226
2310,3.778307309474356
2320,3.776639351689261
2330,3.774946608086942
2340,3.773229078667399
2350,3.7714867634306324
2360,3.769719662376642
2370,3.7679277755054272
2380,3.766111102816989
2390,3.7643060330315175
2400,3.7625279380952956
2410,3.760739070249765
2420,3.7589394294949243
2430,3.757129015830775
2440,3.755307829257314
2450,3.7534758697745456
2460,3.7516331373824663
2470,3.749779632081078
2480,3.74791535387038
2490,3.746040302750372
2500,3.744154570250815
2510,3.7422581025378787
2520,3.7403508813655226
2530,3.7384329067337476
2540,3.736504178642554
2550,3.734564697091941
2560,3.7326144620819086
2570,3.730653473612456
2580,3.7286817316835856
2590,3.7266992362952953
2600,3.724727092975142
2610,3.722857393068353
2620,3.720999332845445
2630,3.719152912306418
2640,3.7173181314512718
2650,3.7154949902800065
2660,3.7136834887926224
2670,3.7118836269891187
2680,3.7100954048694956
2690,3.708318822433754
2700,3.706666991137646
2710,3.705095389563557
2720,3.7035237879894685
2730,3.7019521864153795
2740,3.700370632780383
2750,3.698770177444495
2760,3.6971697221086077
2770,3.69556926677272
2780,3.6938922488283144
2790,3.692145195486276
2800,3.6903981421442382
2810,3.6886510888022004
2820,3.686904035460162
2830,3.685156982118124
2840,3.6834099287760864
2850,3.681662875434048
2860,3.6798891789569312
2870,3.678111744344344
2880,3.6763343097317573
2890,3.67455687511917
2900,3.6727794405065826
2910,3.6710020058939956
2920,3.669224571281408
2930,3.6675250843220684
2940,3.6660841296791578
2950,3.6646431750362467
2960,3.663202220393336
2970,3.6617612657504255
2980,3.660320311107515
2990,3.6588793564646043
3000,3.6574384018216937
3010,3.6559510001601794
3020,3.6544308321216876
3030,3.6529106640831954
3040,3.6513904960447037
3050,3.649870328006211
3060,3.6483501599677193
3070,3.646829991929227
3080,3.6453098238907353
3090,3.6436667960172584
3100,3.642016071862894
3110,3.64036534770853
3120,3.6387146235541663
3130,3.637063899399802
3140,3.6354131752454384
3150,3.633762451091074
3160,3.632137618845502
3170,3.630574442199853
3180,3.6290112655542046
3190,3.6274480889085554
3200,3.6258849122629067
3210,3.6243217356172575
3220,3.6227585589716087
3230,3.6211953823259604
3240,3.6198146125735717
3250,3.6185318704083898
3260,3.617249128243207
3270,3.615966386078025
3280,3.614683643912842
3290,3.61340090174766
